0.2,100,0.2,17.26
0.2,100,2,17.26
0.2,10,0.2,18.82
0.1,100,0.1,19.13
0.1,10,0.5,21.98
0.2,10,0.2,18.82
0.1,100,0.2,13.29
0.2,10,0.2,18.82
0.1,100,0.2,13.29
0.2,100,0.2,17.26
0.1,100,2,13.29
0.1,100,0.5,13.29
0.2,100,0.2,17.26
0.1,10,0.1,21.98
0.1,10,2,21.85
0.2,10,0.2,18.82
0.2,10,10,18.82
0.2,10,2,18.82
0.1,10,0.1,21.98
0.1,10,0.1,21.98
0.1,10,3.1,21.98
0.1,10,0.1,21.98
0.2,10,0.2,18.82
0.1,10,0.1,21.98
0.2,10,0.2,18.82
0.2,100,0.2,17.26
0.2,100,0.2,17.26
0.2,100,0.2,17.26
0.2,100,0.2,17.26
0.2,10,0.2,18.82
0.2,10,0.2,18.82
0.2,100,0.2,17.26
0.1,10,2,21.98
0.1,100,2,19.02
0.1,10,2,21.98
0.1,10,0.2,21.98
0.2,100,0.2,17.26
0.2,100,0.2,17.26
0.2,100,0.3,17.26
0.2,10,0.2,18.82
0.2,10,0.2,18.82
0.1,100,0.1,19.02
0.2,10,2,18.82
0.2,10,0.2,18.82
0.2,10,2,18.82
0.2,10,0.2,18.82
0.2,100,2,17.26
0.2,100,0.2,17.26
0.2,100,0.2,17.26
0.1,100,0.5,19.13
0.1,10,4,21.98
0.2,10,0.2,18.82
0.1,10,0.1,21.98
0.2,10,0.2,18.82
0.2,100,0.2,17.26
0.2,10,0.2,18.82
0.2,10,0.2,18.82
0.2,10,0.2,18.82
0.2,10,2,18.82
0.1,100,2,19.13
0.1,10,0.1,21.85
0.1,10,0.2,21.98
0.1,10,0.1,21.98
0.2,10,0.2,18.82
0.2,10,0.2,18.82
0.1,100,0.1,19.02
0.1,10,6,21.98
0.1,10,0.5,21.98
0.2,10,0.3,18.82
0.2,100,0.2,17.26
0.2,10,0.2,18.82
0.2,10,0.2,18.82
0.1,10,0.5,21.98
0.2,100,0.2,17.26
0.1,10,0.1,21.98
0.2,100,0.2,17.26
0.1,10,0.2,21.85
0.1,10,3,21.85
0.1,100,2,19.13
0.1,10,0.1,21.85
0.2,10,0.2,18.82
0.2,100,0.2,17.26
0.1,10,0.1,21.98
0.2,10,0.2,18.82
0.2,10,0.2,18.82
0.2,10,0.2,18.82
0.2,10,0.2,18.82
0.2,10,0.2,18.82
0.1,10,0.1,21.98
0.1,100,0.5,19.02
0.2,100,0.2,17.26
0.1,10,0.1,21.98
0.2,10,2,18.82
0.2,100,0.2,17.26
0.2,10,0.2,18.82
0.1,100,5,19.13
0.2,10,3,18.82
0.2,100,0.2,17.26
0.1,100,0.1,19.02
0.2,10,0.2,18.82
0.2,10,0.2,18.82
0.1,10,0.5,21.98
0.2,10,0.2,18.82
0.1,10,3,21.98
0.2,100,0.3,17.26
0.2,10,0.2,18.82
0.2,100,0.2,17.26
0.2,100,0.2,17.26
0.2,10,0.2,18.82
0.2,100,0.2,17.26
0.2,10,0.2,18.82
0.1,10,0.1,21.98
0.2,100,0.2,17.26
0.1,10,0.1,21.85
0.2,100,0.2,17.26
0.2,100,0.2,17.26
0.2,10,0.2,18.82
0.1,10,9,21.98
0.1,10,0.2,21.98
0.2,10,3,18.82
0.2,10,0.2,18.82
0.2,10,7,18.82
0.2,100,0.3,17.26
0.1,10,0.2,21.98
0.2,10,3,18.82
0.2,10,0.2,18.82
0.2,10,0.2,18.82
0.1,100,0.2,13.29
0.1,10,0.1,21.98
0.2,10,0.2,18.82
0.2,10,4,18.82
0.2,100,0.2,17.26
0.2,10,0.2,18.82
0.2,100,0.2,17.26
0.2,10,0.2,18.82
0.1,10,0.2,21.85
0.1,100,3,19.02
0.2,10,0.2,18.82
0.1,10,0.5,21.98
0.2,10,0.2,18.82
0.2,10,0.2,18.82
0.2,10,0.2,18.82
0.2,100,0.2,17.26
0.1,100,0.1,13.29
0.2,10,0.2,18.82
0.1,100,0.2,19.13
0.2,10,0.2,18.82
0.1,10,0.2,21.98
0.2,10,0.2,18.82
0.2,10,5,18.82
0.1,10,0.2,21.98
0.1,10,0.2,21.98
0.1,10,2,21.85
0.2,10,0.2,18.82
0.1,10,0.1,21.85
0.1,100,0.1,19.02
0.1,10,2,21.98
0.2,100,0.2,17.26
0.2,10,0.2,18.82
0.1,10,0.1,21.98
0.2,100,0.2,17.26
0.2,10,0.2,18.82
0.2,10,0.2,18.82
0.1,10,0.2,21.98
0.1,10,4,21.98
0.1,10,0.1,21.85
0.2,100,0.2,17.26
0.1,100,0.1,13.29
0.2,10,0.2,18.82
0.2,100,0.2,17.26
